brightness,number22,acq_time,confidence,bright_t31,frp,type
305.8,161,511,64,298.5,6.1,0
327.2,162,551,67,305.8,11.7,0
326,163,801,0,300,13.7,0
330.9,164,843,80,296.9,23.2,0
337,165,2004,53,279.3,29.5,0
327.9,166,530,42,283,23.6,0
323.1,167,431,21,290.1,8.6,0
327.5,168,516,49,293.2,5.9,0
339.4,169,725,44,298.7,27.7,0
328.5,170,505,72,296.8,9.5,0
338.3,171,851,16,290.5,43,0
340.9,172,450,39,299.5,10,0
311.2,173,531,29,295.5,28.3,0
379.2,174,1709,53,289.1,3.8,0
363.8,175,823,74,309.8,7.1,0
326.7,176,1659,59,273.2,10.5,0
321.8,177,811,93,286.8,50.1,0
324.5,178,1642,25,275.8,10.8,0
309.7,179,2011,82,291.5,8.5,0
316.7,180,840,0,298,16.5,0
326.7,181,444,0,283,14.3,0
332.1,182,526,58,287.3,15.9,0
330.7,183,609,35,287,46.1,0
331.7,184,815,46,296.6,10.8,0
338.1,185,722,44,292.2,22,0
331.7,186,639,24,285.9,38.3,0
320.4,187,543,24,292.8,26.9,0
344.4,188,449,0,293.5,5.7,0
322.3,189,1627,35,290.4,3.3,0
337.5,190,435,40,295.3,6.5,0
346.3,191,1614,68,292.4,5.7,0
336.3,192,602,56,293.3,7.1,0
328.9,193,510,69,294.4,9.6,0
320.5,194,1645,36,281.3,4.4,0
314.1,195,758,55,288.2,8.6,0
306.7,196,703,40,302.7,10.4,0
311.7,197,924,32,290.2,44.5,0
314.9,198,824,52,302,7.9,0
304.9,199,607,25,295.5,15,0
327.8,200,516,77,301.2,12.1,0
319.8,201,720,53,289.3,11.8,2
337.8,202,504,72,300.6,8.1,0
338.3,204,452,63,293.3,11.3,0
331.7,205,529,65,295.9,8.3,0
342.8,206,612,38,287.6,19,0
334.2,207,518,35,294.6,19.3,0
334.3,208,723,58,299.9,28.4,0
320,209,804,35,294.6,6,0
331.6,210,711,49,292.7,33.4,0
334.3,211,457,50,300,10,0
341.6,212,834,88,296.9,32.6,0
311.4,213,739,35,282.7,25.2,0
304.5,214,527,58,283.2,15.4,0
304.7,215,607,32,291.8,18.9,0
304.7,216,512,33,282.2,10,0
333.3,217,715,20,286.6,23.3,0
330.9,218,500,43,297,8.6,0
307.9,219,842,59,296.7,10,0
317.3,220,624,27,289,47,0
307,221,2037,50,283.3,6.6,0
308.9,222,614,36,287.3,20.3,0
308.8,223,521,46,293,8.9,0
320.6,224,421,0,296.7,8.9,0
316.8,225,509,64,299.3,7.6,0
307.5,226,848,41,295.3,22.5,0
330.5,227,457,80,303.3,13.3,0
302.6,228,538,77,291.9,38.6,0
314.1,229,445,73,298.5,21.8,0
320.8,230,817,72,301,10.9,0
332.8,231,427,0,296.7,6,0
337,232,807,65,302,10.7,0
330.4,233,1648,81,294.9,6.3,0
336.8,234,502,63,301.6,8.2,0
335.6,235,541,24,291.5,40.9,0
337.7,236,445,61,294.4,14.8,0
333.6,237,822,40,287.1,4.7,0
317.8,238,433,67,296.4,7.9,0
322.1,239,811,29,289.4,4.1,0
330.3,240,424,0,286.6,39.9,0
330.7,241,506,55,294.5,5.5,0
329.2,242,549,38,298.6,12,0
330.1,243,454,71,296.1,10.1,0
328.8,244,538,40,297.8,26.9,0
325.8,245,733,27,294.7,38.7,0
334.2,246,527,70,296,13.8,0
324.7,247,720,60,296.1,13.7,0
330,248,515,65,296.7,7.6,0
327.6,249,554,29,299.7,18.6,0
329.4,250,459,41,277.2,6.8,0
309.5,251,542,26,299.9,8.2,0
305.4,252,446,47,297.4,6.5,0
311.5,253,530,65,294.4,6.3,0
333.6,254,904,50,293.9,28.9,0
322.5,255,520,63,300.8,11.6,0
319.9,258,1641,59,294.3,4,0
319.4,259,455,87,301,36,0
321.6,260,821,60,304.8,8,0
